Job Title,Company Name,description,Posted Date,Job Type,Location
Python Developer,Mindlance,"Role: Python Developer Location: Remote Duration: 6 Months Job Description: 3-4 years exp. Python heavy, AWS, Big Data, Spark Build everything in Python. Data Group (ETL). Python development.“Mindlance is an Equal Opportunity Employer and does not discriminate in employment on the basis of – Minority/Gender/Disability/Religion/LGBTQI/Age/Veterans.”",Posted 5 days ago,Contract,Remote
AWS/PYTHON DEVELOPER,"LingaTech, Inc","Requirements: Responsible for designing, developing, and setting-up optimal AWS Cloud solutionsIdentifying, implementing, and maintaining the most suitable AWS architecture based on a company’s needsCreating different AWS services such as API, RDS instance, and Lambda to build a serverless applicationUnderstanding current infrastructure and stack in order to employ best AWS solutionsDesigning serverless applications using AWS lambda and Glue in Python languageDesigning AWS API gateway and Implem",Posted 12 days ago,Contract,Remote
Senior Developer - Python,"NTT DATA, Inc.","We are currently seeking a Senior Developer - Python to join our team in Durham, North Carolina (US-NC), United States (US). Senior Developer Extract data from multiple sources, integrate disparate data into a common data model, and integrate data into a target database, application, or file using efficient programming processes Document, and test moderate data systems that bring together data from disparate sources, making it available to data scientists, and other users using scripting and/or",Posted 35 days ago,Contract,"Remote or Durham, NC, USA"
Python Application Automation Developer - Google Cloud Platform Cloud Platform,"Request Technology, LLC",Python Developer Experience & Google Cloud Platform Platform Engineer candidates will need to take hacker rank exam Looking for a candidate with Python application development to build automation on a Google Cloud Platform platform. Google Cloud Platform is a huge plus. Logging observability GIT harness testing of frameworks Terraform DevOps React Linux IAC CI/CD We are looking for an expert software engineer with platform building and public cloud experience. This role is primarily for Google,Posted 46 days ago,Full-time,Remote
Python Developer,CloudOne Inc,"Job Title: Sr. Python/AWS Developer Location: Dallas, TX (Remote) Hire Type: Contract Duration: 12+ months Responsibilities: • They are looking for developers with hands on AWS Serverless development using: • Python, Lambda, Kinesis Streams, SQS, DynamoDB , Microservices, Domain Driven Design, Enterprise Integration in the cloud (Just a little bit) • One developer should have: Domain Driven Design, Microservices, Java, Containers, Lambda, Kinesis Streams, SQS, DynamoDB , Enterprise Integration i",Posted 18 days ago,"Contract, Third Party",Remote
Python Developer,SPECTRAFORCE TECHNOLOGIES Inc.,"Python Developer Location - Ridgefield CT (100% remote) Contract - 6+ Months Minimum Payrate: $57/hr Job Description: Develop large-scale enterprise web applications integrating into BI systems using server-side technologiesDesign, develop, code, test, build, deploy, and debug new software or enhancements to existing software using Core Linux technologiesWork with infrastructure leads and support staff to implement any required infrastructure needed to support BI recommended technologiesWorking",Posted 60+ days ago,Contract,Remote
Python Developer,"Brains Workgroup, Inc.","Python Developer One of our clients, a Market Research Company that transforms Consumer Packaged Goods (CPG) and Retail Industries into true data driven digital enterprises, is looking for a talented Python Product Developer. Permanent (full time) position with excellent compensation package and benefits. Location: 100% Remote position Sorry, No H1b Visa Support for this role Please read the description below and to be considered immediately email your resume to barryr @brainsworkgroup.com Py",Posted 60+ days ago,Full-time,Remote
Senior Python Developer,Turn2Partners,Senior Backend Software Engineer The Senior Backend Software Engineer position is part of an application development team tasked with building and maintaining mission-critical apps for our customers as part of the Mission-Apps-as-a-Service offering. Mission Apps-as-a-Service puts operators side by side with world-class software engineering teams. This ensures modern and secure development at the fastest optempo possible and aligned directly to mission needs. This role is also expected to be able,Posted 40 days ago,Full-time,Remote
"Python Developer - AWS, SAS, Java, Code Refactoring",SESC,"SESC is adding to our team! We are seeking a Sr Python Developer with AWS, SAS, Java and Code Refactoring experience Type: W2 With Benefits or W2 hourly - No C2C Location: Washington, DC (remote until further notice) Top Skills 1)SAS (read and write) 2) Python Development 3) SQL/Data 4) EMR 5) PySpark About SES Systems Engineering Services Corporation: SESC was founded in 1989, is a leading provider of technology solutions to Fortune 1000 companies and government organizations. Specializing in A",Posted 14 hours ago,Full-time,"Remote or Washington, DC, USA"
"100% REMOTE Sr. Python/AWS Developer Openings - Placed 2 resources, More to WIN","Veritis Group, Inc.","100% REMOTE Sr. Python/AWS Developer Openings I have 2 Python resources Tejaswini and Hemanth working here. Let’s place more! Role: Sr. Python Developer (AWS/Lambda/Python) Location: Remote (the main office is in Dallas, TX) Duration: 1 year open-ended Contract (no contract maximum, potential for a long term contract) • C2C Rate for Mid Python/AWS Developer - x 2 Mid is $60-65/hr C2C a.i. • C2C Rate for Sr. Python/AWS Developer – x1 Sr. is $65- $68MAX/hr C2C a.i. These are SOW",Posted 56 days ago,"Contract, Third Party",Remote
"Data Engineer (Oracle, SQL, PL-SQL, DWH Design, Performance Tuning, TypeScript, JavaScript, Power BI, Business Intelligence, Python) - 100 % Remote",DBA Web Technologies,"Data Engineer (Oracle, SQL, PL-SQL, DWH Design, Performance Tuning, TypeScript, JavaScript, Power BI, Business Intelligence, Python) - 100 % RemotePOSITION: Data Engineer (Oracle, SQL, PL-SQL, DWH Design, Performance Tuning, TypeScript, JavaScript, Power BI, Business Intelligence, Python) DURATION: Full-Time Position LOCATION: 100% Remote VISA: Visa Transfer candidates will be considered SALARY: Excellent compensation with benefits + 401K SKILLS: Data Engineer, Oracle, SQL, Pl/SQL, Data Warehous",Posted 13 hours ago,Full-time,Remote
".NET developer (w/C++, JavaScript, Python, VB Scripts and Power BI) - 100% REMOTE",Ledgestone Technologies,"100% REMOTE Scope of work: Construct systems software and software interfaces at a highly advanced level of technology and sophisticationMaintenance of complex software products and systemsAddress and remediate security vulnerability findings in PowerAppsIntegrate Power BI Reports and dashboards into PowerAppsDevelop, analyze and apply model-Driven Apps, Automations, and Customizations, including entity and form creation, workflow, process automation, business rules, reports, dashboard, and syst",Posted 5 days ago,Contract,Remote
Full Stack Python Developer (remote),Allied Global Services,Are you looking for a growing company that invests in its technology?Are you passionate enough to be a crucial part of a highly analytical and scalable user engagement platform?Are you ready learn new technologies and willing to step out of your comfort zone to explore and learn new skills?We are scaling up!! Seeking Software Engineers that love PYTHON Development across globally distributed systems! We are expanding to an even greater global market! Nearly 50 countries already implemented! W,Posted 39 days ago,Full-time,Remote
"Full Stack Engineer - Python (MySQL, Docker, JavaScript, React, Git, Design Patterns, RESTful Services, DevOps, Agile) - 100 % Remote",DBA Web Technologies,"Full Stack Engineer - Python (MySQL, Docker, JavaScript, React, Git, Design Patterns, RESTful Services, DevOps, Agile) - 100 % Remote POSITION: Full Stack Engineer - Python (MySQL, Docker, JavaScript, React, Git, Design Patterns, RESTful Services, DevOps, Agile) DURATION: Full-Time Permanent Position (100 % Remote) LOCATION: 100 % Remote but candidate must be located in any one of these states (OR, WA, CA, CO, ID, AZ, TX, IL) SALARY: Excellent compensation with Benefits + 401K SKILLS: Python,",Posted 12 days ago,Full-time,Remote
